,Years,CH4(ppb),Temp(Celsius),Temp(Kelvin),CO2(ppm),years_workaround
207,7583.0,685.4014167,0.88,218.3,420.0,75.83
208,7636.6,688.95,0.88,218.3,420.0,76.366
209,7641.6,683.3,0.88,218.3,420.0,76.416
210,7689.8,693.0557214,0.88,218.3,420.0,76.898
211,7749.5,676.3,0.88,218.3,420.0,77.495
212,7768.8,673.840889,0.88,218.3,420.0,77.688
213,7844.2,669.5888899,0.88,218.3,420.0,78.442
214,7850.9,682.3,0.88,218.3,420.0,78.509
215,7885.0,674.6233881,0.88,218.3,420.0,78.85
216,7932.1,685.0,0.88,218.3,420.0,79.321
217,8011.5,678.0,0.88,218.3,420.0,80.115
218,8086.2,717.0515,0.88,218.3,420.0,80.862
219,8147.7,698.0,0.88,218.3,420.0,81.477
220,8241.6,694.2864599,0.88,218.3,420.0,82.416
221,8253.7,678.0,0.88,218.3,420.0,82.537
222,8302.5,682.4566084,0.88,218.3,420.0,83.025
223,8323.5,688.0,0.88,218.3,420.0,83.235
224,8443.6,672.163994,0.88,218.3,420.0,84.436
225,8459.0,661.3,0.88,218.3,420.0,84.59
226,8528.2,668.6787834,0.88,218.3,420.0,85.28200000000001
227,8567.5,652.0,0.88,218.3,420.0,85.675
228,8654.3,671.3971893,0.88,218.3,420.0,86.54299999999999
229,8661.9,666.0,0.88,218.3,420.0,86.619
230,8708.7,684.5189354,0.88,218.3,420.0,87.087
231,8757.1,680.7,0.88,218.3,420.0,87.571
232,8861.6,693.5484963,0.88,218.3,420.0,88.616
233,8867.5,673.3,0.88,218.3,420.0,88.675
234,8921.6,679.2116836,0.88,218.3,420.0,89.21600000000001
235,8974.5,703.0,0.88,218.3,420.0,89.745
236,9116.4,650.4022932,0.88,218.3,420.0,91.164
237,9127.8,633.3,0.88,218.3,420.0,91.27799999999999
238,9173.6,652.519,0.88,218.3,420.0,91.736
239,9180.1,654.3,0.88,218.3,420.0,91.801
240,9266.2,664.7,0.88,218.3,420.0,92.662
241,9374.9,643.4884398,0.88,218.3,420.0,93.749
242,9382.6,559.0,0.88,218.3,420.0,93.82600000000001
243,9459.9,469.0,0.88,218.3,420.0,94.59899999999999
244,9660.3,488.431719,0.88,218.3,420.0,96.603
245,9674.6,467.7,0.88,218.3,420.0,96.74600000000001
246,9766.6,477.3,0.88,218.3,420.0,97.666
247,9848.3,462.0160152,0.88,218.3,420.0,98.48299999999999
248,9858.3,482.7,0.88,218.3,420.0,98.583
249,9971.2,462.3,0.88,218.3,420.0,99.712
250,10083.0,480.2567037,0.88,218.3,420.0,100.83
251,10088.8,466.7,0.88,218.3,420.0,100.88799999999999
252,10143.5,478.5904994,0.88,218.3,420.0,101.435
253,10387.5,542.0,0.88,218.3,420.0,103.875
254,10526.8,650.993563,0.88,218.3,420.0,105.26799999999999
255,10534.8,627.0,0.88,218.3,420.0,105.348
256,10654.9,643.3,0.88,218.3,420.0,106.54899999999999
257,10785.5,610.4635896,0.88,218.3,420.0,107.855
258,10797.3,646.0,0.88,218.3,420.0,107.973
259,10933.8,661.4955,0.88,218.3,420.0,109.338
260,10959.7,661.7,0.88,218.3,420.0,109.59700000000001
261,11119.8,670.4033836,0.88,218.3,420.0,111.198
262,11128.6,653.3,0.88,218.3,420.0,111.286
263,11305.2,645.7,0.88,218.3,420.0,113.052
264,11406.1,628.4335,0.88,218.3,420.0,114.061
265,11468.2,624.8581951,0.88,218.3,420.0,114.682
266,11477.9,618.7,0.88,218.3,420.0,114.779
267,11547.3,613.0,0.88,218.3,420.0,115.473
268,11674.6,618.6,0.88,218.3,420.0,116.74600000000001
269,11687.3,623.2599844,0.88,218.3,420.0,116.87299999999999
270,11696.0,630.0,0.88,218.3,420.0,116.96
271,11821.4,611.7,0.88,218.3,420.0,118.214
272,11991.8,578.3,0.88,218.3,420.0,119.91799999999999
273,12001.0,596.8829014,0.88,218.3,420.0,120.01
274,12059.8,568.8756288,0.88,218.3,420.0,120.598
275,12339.1,464.7,0.88,218.3,420.0,123.391
276,12361.7,476.0199447,0.88,218.3,420.0,123.617
277,12584.5,461.0,0.88,218.3,420.0,125.845
278,12596.8,469.6166667,0.88,218.3,420.0,125.96799999999999
279,12604.6,468.6689331,0.88,218.3,420.0,126.046
280,12760.9,459.3,0.88,218.3,420.0,127.609
281,12919.7,469.8641497,0.88,218.3,420.0,129.197
282,13016.2,475.7,0.88,218.3,420.0,130.162
283,13252.6,463.0097119,0.88,218.3,420.0,132.526
284,13266.7,451.0,0.88,218.3,420.0,132.667
285,13442.8,451.7,0.88,218.3,420.0,134.428
286,13595.2,441.3803499,0.88,218.3,420.0,135.952
287,13605.0,456.0,0.88,218.3,420.0,136.05
288,13894.1,441.2,0.88,218.3,420.0,138.941
289,13915.1,438.4386673,0.88,218.3,420.0,139.151
290,13920.0,473.3,0.88,218.3,420.0,139.2
291,14110.3,418.7,0.88,218.3,420.0,141.10299999999998
292,14263.3,423.7,0.88,218.3,420.0,142.63299999999998
293,14292.5,427.3,0.88,218.3,420.0,142.925
294,14480.0,404.7,0.88,218.3,420.0,144.8
295,14654.3,409.2,0.88,218.3,420.0,146.543
296,14667.1,404.1524256,0.88,218.3,420.0,146.671
297,14876.1,408.3,0.88,218.3,420.0,148.761
298,14882.5,381.3,0.88,218.3,420.0,148.825
299,15095.8,395.4,0.88,218.3,420.0,150.958
300,15124.6,388.8398486,0.88,218.3,420.0,151.246
301,15366.4,371.3,0.88,218.3,420.0,153.664
302,15555.7,375.4,0.88,218.3,420.0,155.55700000000002
303,15580.8,366.152,0.88,218.3,420.0,155.808
304,15592.7,383.7,0.88,218.3,420.0,155.92700000000002
305,15838.8,366.3,0.88,218.3,420.0,158.388
306,15958.7,377.2381364,0.88,218.3,420.0,159.58700000000002
307,15973.3,371.3,0.88,218.3,420.0,159.733
308,16306.2,375.3,0.88,218.3,420.0,163.062
309,16540.1,370.9,0.88,218.3,420.0,165.40099999999998
310,16558.0,378.336,0.88,218.3,420.0,165.58
311,16568.7,371.0,0.88,218.3,420.0,165.687
312,16923.3,372.7418456,0.88,218.3,420.0,169.233
313,16940.4,378.7,0.88,218.3,420.0,169.40400000000002
314,17366.5,365.7,0.88,218.3,420.0,173.665
315,17500.7,358.0826297,0.88,218.3,420.0,175.007
316,17529.0,377.0,0.88,218.3,420.0,175.29
317,17730.0,356.3,0.88,218.3,420.0,177.3
318,17742.9,351.3,0.88,218.3,420.0,177.429
319,18013.4,373.7419869,0.88,218.3,420.0,180.13400000000001
320,18174.3,375.3,0.88,218.3,420.0,181.743
321,18515.5,383.75,0.88,218.3,420.0,185.155
322,18518.6,366.7327831,0.88,218.3,420.0,185.18599999999998
323,18757.8,378.3,0.88,218.3,420.0,187.578
324,19004.1,364.8082455,0.88,218.3,420.0,190.041
325,19267.6,353.7,0.88,218.3,420.0,192.676
326,19519.5,357.0,0.88,218.3,420.0,195.195
327,19836.3,357.3,0.88,218.3,420.0,198.363
328,20035.6,355.3,0.88,218.3,420.0,200.356
329,20767.9,407.3,0.88,218.3,420.0,207.679
330,20945.0,384.65,0.88,218.3,420.0,209.45
331,21179.6,390.0,0.88,218.3,420.0,211.796
332,21328.7,389.75,0.88,218.3,420.0,213.287
333,21522.2,389.7,0.88,218.3,420.0,215.222
334,21797.4,386.475,0.88,218.3,420.0,217.97400000000002
335,21938.1,398.0,0.88,218.3,420.0,219.38099999999997
336,22134.1,375.1,0.88,218.3,420.0,221.34099999999998
337,22349.0,360.0,0.88,218.3,420.0,223.49
338,22565.5,372.7,0.88,218.3,420.0,225.655
339,22771.1,388.7,0.88,218.3,420.0,227.71099999999998
340,22977.4,372.475,0.88,218.3,420.0,229.774
341,23379.2,369.7,0.88,218.3,420.0,233.792
342,23649.1,365.0,0.88,218.3,420.0,236.49099999999999
343,23874.4,355.0,0.88,218.3,420.0,238.74400000000003
344,24039.6,364.125,0.88,218.3,420.0,240.396
345,24681.1,396.3,0.88,218.3,420.0,246.81099999999998
346,24968.0,387.0,0.88,218.3,420.0,249.68
347,25123.9,386.2,0.88,218.3,420.0,251.239
348,25385.9,395.85,0.88,218.3,420.0,253.859
349,25553.5,406.3,0.88,218.3,420.0,255.535
350,25729.9,426.3,0.88,218.3,420.0,257.29900000000004
351,25945.7,381.925,0.88,218.3,420.0,259.457
352,26185.6,399.0,0.88,218.3,420.0,261.856
353,26335.5,402.375,0.88,218.3,420.0,263.355
354,26552.0,414.0,0.88,218.3,420.0,265.52
355,26813.5,443.875,0.88,218.3,420.0,268.135
356,27140.9,388.3,0.88,218.3,420.0,271.409
357,27368.7,367.7,0.88,218.3,420.0,273.687
358,27751.0,391.0,0.88,218.3,420.0,277.51
359,28029.6,399.3,0.88,218.3,420.0,280.296
360,28197.8,392.375,0.88,218.3,420.0,281.978
361,28668.2,409.7,0.88,218.3,420.0,286.682
362,28810.6,408.475,0.88,218.3,420.0,288.106
363,29024.4,391.7,0.88,218.3,420.0,290.244
364,29247.6,404.425,0.88,218.3,420.0,292.476
365,29453.9,412.0,0.88,218.3,420.0,294.539
366,29805.9,426.5,0.88,218.3,420.0,298.059
367,29842.9,421.625,0.88,218.3,420.0,298.42900000000003
368,29945.2,440.9,0.88,218.3,420.0,299.452
369,30119.4,457.4,0.88,218.3,420.0,301.194
370,30213.0,470.8,0.88,218.3,420.0,302.13
371,30303.6,430.625,0.88,218.3,420.0,303.036
372,30419.9,451.9,0.88,218.3,420.0,304.199
373,30464.5,409.15,0.88,218.3,420.0,304.645
374,30637.6,410.4,0.88,218.3,420.0,306.376
375,30694.6,404.6,0.88,218.3,420.0,306.94599999999997
376,30817.7,404.0,0.88,218.3,420.0,308.177
377,30863.6,414.5,0.88,218.3,420.0,308.63599999999997
378,30953.8,432.0,0.88,218.3,420.0,309.538
379,31076.2,423.5,0.88,218.3,420.0,310.762
380,31110.0,427.65,0.88,218.3,420.0,311.1
381,31198.4,439.6,0.88,218.3,420.0,311.98400000000004
382,31251.8,443.3,0.88,218.3,420.0,312.518
383,31298.4,444.3,0.88,218.3,420.0,312.98400000000004
384,31530.2,460.9,0.88,218.3,420.0,315.302
385,31737.9,478.7,0.88,218.3,420.0,317.379
386,31784.6,425.9,0.88,218.3,420.0,317.846
387,31859.5,415.4,0.88,218.3,420.0,318.595
388,31906.6,419.0,0.88,218.3,420.0,319.066
389,32095.8,420.4,0.88,218.3,420.0,320.95799999999997
390,32129.2,430.075,0.88,218.3,420.0,321.29200000000003
391,32234.8,430.0,0.88,218.3,420.0,322.348
