,Years,CH4(ppb),Temp(Celsius),Temp(Kelvin),CO2(ppm),years_workaround
283,2750.24463,,0.89,,,27.502446300000003
284,2751.3,559.6650635,,,,27.513
285,2767.45288,,0.81,,,27.674528799999997
286,2784.27979,,0.91,,,27.8427979
287,2789.9,569.902,,,,27.899
288,2801.44702,,0.01,,,28.0144702
289,2805.3,563.3,,,,28.053
290,2806.0,,,215.0,276.3,28.06
291,2818.38721,,1.32,,,28.1838721
292,2835.10181,,1.12,,,28.3510181
293,2851.81982,,1.12,,,28.5181982
294,2869.81689,,0.04,,,28.6981689
295,2873.0,578.5428881,,,,28.73
296,2888.01172,,-0.64,,,28.8801172
297,2899.0,569.9,,,,28.99
298,2902.0,,,217.8,274.6,29.02
299,2906.21045,,-1.0,,,29.0621045
300,2914.4,572.6807521,,,,29.144000000000002
301,2918.3,567.7,,,,29.183000000000003
302,2924.22363,,0.57,,,29.2422363
303,2942.89673,,0.29,,,29.4289673
304,2961.21436,,-0.34,,,29.6121436
305,2980.44849,,-0.91,,,29.804484900000002
306,2999.6936,,-0.01,,,29.996936
307,3018.71484,,-0.51,,,30.1871484
308,3037.35205,,0.1,,,30.373520499999998
309,3051.6,561.0,,,,30.516
310,3053.0,,,218.2,276.3,30.53
311,3055.99341,,0.15,,,30.5599341
312,3074.13501,,-0.03,,,30.7413501
313,3092.03613,,0.63,,,30.9203613
314,3110.29199,,,,,31.102919900000003
315,3116.0,,,218.1,273.1,31.16
316,3117.6,563.0,,,,31.176
317,3128.5083,,1.27,,,31.285083
318,3146.72217,,-1.46,,,31.4672217
319,3161.5,550.596,,,,31.615
320,3165.27637,,-0.91,,,31.6527637
321,3185.7229,,-1.3,,,31.857229000000004
322,3199.1,552.665624,,,,31.991
323,3206.2,558.3,,,,32.062
324,3206.56641,,0.62,,,32.0656641
325,3215.0,,,217.4,274.0,32.15
326,3226.7688,,-0.82,,,32.267688
327,3246.86279,,-1.76,,,32.4686279
328,3267.21094,,0.47,,,32.6721094
329,3271.3,573.7062461,,,,32.713
330,3286.70679,,-0.74,,,32.8670679
331,3306.5813,,-1.05,,,33.065813
332,3319.5,560.745267,,,,33.195
333,3322.2,564.2,,,,33.222
334,3325.90356,,0.7,,,33.259035600000004
335,3336.0,,,217.3,275.0,33.36
336,3345.50293,,-0.71,,,33.4550293
337,3365.14771,,-1.44,,,33.6514771
338,3385.10962,,-0.01,,,33.8510962
339,3387.1,576.801097,,,,33.871
340,3405.45874,,-0.28,,,34.0545874
341,3413.6,565.0,,,,34.135999999999996
342,3425.45044,,-0.44,,,34.2545044
343,3445.16016,,-0.18,,,34.4516016
344,3453.0,,,216.0,273.4,34.53
345,3464.87329,,-0.02,,,34.6487329
346,3468.1,570.1361675,,,,34.681
347,3483.79248,,0.46,,,34.8379248
348,3503.07251,,-1.04,,,35.0307251
349,3508.2,566.0,,,,35.082
350,3522.05103,,1.35,,,35.2205103
351,3523.0,,,217.1,273.0,35.23
352,3523.7,579.5658932,,,,35.236999999999995
353,3540.56226,,0.15,,,35.4056226
354,3559.07617,,-0.29,,,35.5907617
355,3575.9,580.6022905,,,,35.759
356,3578.32837,,0.16,,,35.7832837
357,3598.29468,,-0.67,,,35.9829468
358,3599.6,563.4806102,,,,35.996
359,3606.5,568.3,,,,36.065
360,3617.72217,,0.92,,,36.1772217
361,3622.0,,,217.6,271.5,36.22
362,3635.78711,,0.77,,,36.357871100000004
363,3647.9,591.1240422,,,,36.479
364,3653.85449,,0.17,,,36.538544900000005
365,3672.00122,,0.62,,,36.7200122
366,3690.64551,,1.03,,,36.906455099999995
367,3693.2,571.3,,,,36.931999999999995
368,3700.5,577.6611797,,,,37.005
369,3703.2,569.7,,,,37.032
370,3706.9,581.4602016,,,,37.069
371,3708.94678,,-1.02,,,37.0894678
372,3721.0,,,216.2,275.4,37.21
373,3727.1001,,1.36,,,37.271001
374,3734.4,584.3,,,,37.344
375,3745.50146,,1.26,,,37.4550146
376,3762.0,586.1507089,,,,37.62
377,3763.56421,,-1.57,,,37.6356421
378,3782.9856,,1.07,,,37.829856
379,3790.0,,,217.0,274.9,37.9
380,3802.25,,0.08,,,38.0225
381,3821.60449,,0.26,,,38.2160449
382,3841.62109,,-0.7,,,38.4162109
383,3861.26953,,-0.92,,,38.6126953
384,3880.94751,,0.72,,,38.8094751
